Service_ID,Customer_Details,Phone_Number,Vehicle_Description,License_Plate,Service_Type,Date_Of_Service,Total_Cost,Payment_Status,Internal_Notes
SRV-1185,John Jones,call spouse 555-888-1122,Kia Sportage,7XYZ 123,Battery,03/11/2024,321,Done,
SRV-1186,Mr. Elena Garcia,5550192834,Ford Mustang,K9922X,Brake Pad Change,2025-02-28,290 USD,unpaid,Paid via cash
SRV-1187,Mr. John Davis,555-019-2834,Honda Civic,7XYZ123,Battery Replacement,01-02-25,739,Completed,
SRV-1188,Mr. Robert Anderson,+15550192834,toyota camry,ABC-8901,oil change,02/28/2025,-169,in progress,Replaced front left light as well for free
SRV-1189,Mr. D. Brown,none,Hyundai Tucson,ABC-8901,Air Conditioning,20250228,480,,Duplicate record?
SRV-1190,Mr. Alexander Smith,5552345678,2012 Volkswagen Golf (Plate: abc8901),,Inspection + Oil,02/28/2025,709,done,Bring back next week
SRV-1191,Ms. john Williams | Tel: N/A | Mail: J.SMITH@GMAIL.COM,,Honda CRV,K99-22X,Diagnostics,Feb 28 2025,253,unpaid,Paid via cash
SRV-1192,Ms. JON Garcia,555-019-2834,Honda Civic,ABC 8901,Diag,02/28/2025,748,Pending,Contact wife for payment
SRV-1193,Mrs. S. Garcia | Tel: +15550192834 | Mail: sarah_j@yahoo.com,,BMW 3 Series,abc8901,AC Refill,2025-02-28,505,paid,Replaced front left light as well for free
SRV-1026,Mr. Michael Wilson,555-019-2834,ford f150,7xyz123,Diagnostics,02/28/2025,692,in progress,VIP client - gave 10% off
SRV-1195,Prof. A. Davis | Tel: +15550192834 | Mail: -,,2018 Kia Sportage (Plate: 7xyz123),,Rear Brakes,2025.01.15,900 USD,Pending,Paid via cash
SRV-1196,Mr. John SMITH,555-234-5678,Honda Civic,7XYZ123 ,oil change,Feb 28 2025,-286,unpaid,
SRV-1197,Mr. Alex Jackson | Tel: (555) 234-5678 | Mail: info@company.org,,honda civic,ABC 8901,Brake Pads Replacement,01/15/2025,583,Pndg,Replaced front left light as well for free
SRV-1198,Ms. john SMITH | Tel: N/A | Mail: none,,Honda CR-V,7XYZ123 ,Major Service,12/05/2023,863,,
SRV-1199,Dr. Robert Martin | Tel: - | Mail: none,,2023 Toyota Camry (Plate: NEW CAR),,Engine Diagnostics,01/15/2025,1046,Paid,
SRV-1200,Mrs. Sarah Davis,5552345678,Kia Sportage,7XYZ123 ,Rear Brakes,2023-13-45,875,Pending,VIP client - gave 10% off
SRV-1039,Dmitriy Anderson,+1 (555) 019-2834,Merc C-Class,NEW CAR,alignment,12/05/2023,1084,Done,Paid via cash
SRV-1202,Prof. Christian Smith | Tel: - | Mail: invalid-email@,,2023 Honda Civic (Plate: NO PLATE),,Diag,01/15/2025,$3376537,done,Duplicate record?
SRV-1203,Dr. Dmitriy Thomas,+15550192834,Honda Civic,NO PLATE,Major Service,20250228,436,,Duplicate record?
SRV-1204,Dr. Mike Garcia,(555) 234-5678,2022 Audi Q7 (Plate: 7XYZ 123),,Oil Change,2023-13-45,146,COMPLETED,Need to re-check invoice
SRV-1205,Prof. Mike Garcia | Tel: +15550192834 | Mail: -,,Hyundai Tucson,ABC-8901,Diag,15-Jan-2025,261,,
SRV-1206,Mrs. Dmitriy SMITH,,Hyundai Tucson,7XYZ123,Battery,28.02.2025,927,paid,
SRV-1207,Ms. Robert Davis | Tel: (555) 234-5678 | Mail: -,,2012 VW Golf (Plate: ABC 8901),,Engine Diagnostics,"Jan 15, 2025",-93,CANCELLED,VIP client - gave 10% off
SRV-1208,Mr. David Martinez,call spouse 555-888-1122,Audi A4,NEW CAR,Brake Pad Change,01/15/2025,FREE / WARRANTY,Completed,Bring back next week
SRV-1209,A. Miller | Tel: none | Mail: alexander.t@domain.com,,toyota camry,NEW CAR,alignment,2025.01.15,-50,CANCELLED,Paid via cash
SRV-1210,Prof. Christian Brown | Tel: +15550192834 | Mail: john.smith@gmail.com,,Audi A4,7xyz123,Oil change & Filter,"Nov 3, 2024",1044,paid,Replaced front left light as well for free
SRV-1211,Mrs. D. Thomas,,Ford Focus,K9922X,Engine Diagnostics,2023-13-45,-242,,Paid via cash
SRV-1046,,,BMW X5,K99-22X,Inspection + Oil,20250228,562,paid,Replaced front left light as well for free
SRV-1213,Prof. Anna Garcia,555 019 2834,BMW 3 Series,7XYZ 123,brakes front,2025.01.15,$2314805,Pndg,
SRV-1214,Mrs. Bob Miller | Tel: - | Mail: J.SMITH@GMAIL.COM,,Mercedes E200,UNREGISTERED,Engine Diagnostics,2023-05-12,105,,Need to re-check invoice
SRV-1215,Mr. Alexander Williams,555 019 2834,Hyundai Elantra,7xyz123,Oil change & Filter,"Nov 3, 2024",784,CANCELLED,Replaced front left light as well for free
SRV-1031,Prof. Christian smith,(555) 234-5678,MERCEDES E-CLASS,NONE,oil change,02/28/2025,758,,Bring back next week
SRV-1217,Dr. John Taylor | Tel: none | Mail: alexander.t@domain.com,,BMW 328i,7xyz123,Rear Brakes,2025.01.15,987,Pending,Replaced front left light as well for free
SRV-1218,Mr. Mike White,555-234-5678,Hyundai Elantra,abc8901,AC Service,15-Jan-2025,-231,Paid,
SRV-1219,Prof. John Jones,555-234-5678,2012 Honda CRV (Plate: K9922X),,Diagnostics,2024-11-03,,paid,Duplicate record?
SRV-1220,John Davis,,honda civic,NEW CAR,Diagnostics,15-Jan-2025,609,,Paid via cash
SRV-1221,,,Honda CR-V,NONE,Oil Change,2025-01-15,350,Pndg,VIP client - gave 10% off
SRV-1043,Dr. Bob Wilson,N/A,VW Golf,K9922X,Wheel Alignment,"Nov 3, 2024",893,unpaid,Paid via cash
SRV-1223,Dr. A. Martinez,none,BMW 328i,abc8901,Major Service,2024/11/03,614,Pndg,Replaced front left light as well for free
SRV-1224,Mrs. john Martinez,555-234-5678 ext 12,Honda Civic,NONE,Engine Check,03/11/2024,908,CANCELLED,Customer complained about noise
SRV-1225,Mrs. David Davis,call spouse 555-888-1122,Ford F-150,NONE,Brake Pad Change,"Nov 3, 2024",-82,,Replaced front left light as well for free
SRV-1226,Mrs. Dmitri Taylor,5550192834,Hyundai Tucson,K99-22X,Diag,2025-02-28,,in progress,Contact wife for payment
SRV-1227,Robert Garcia,5550192834,Mercedes-Benz E-Class,NONE,Engine Check,28.02.2025,-268,COMPLETED,VIP client - gave 10% off
SRV-1228,Prof. Chris Williams,-,BMW 328i,NONE,Diag,01-02-25,-165,in progress,Bring back next week
SRV-1229,Mrs. Christian SMITH,555 019 2834,bmw x5,K99-22X,Tire Rotation,2025-01-15,$4345615,,
SRV-1230,Prof. Mike Smith,+1 (555) 019-2834,2023 Honda CRV (Plate: ABC 8901),,Tire Rotation,2023-05-12,422,done,Customer complained about noise
SRV-1231,Anna Martinez,-,Honda Civic,K9922X,brakes front,15-Jan-2025,906,Done,Bring back next week
SRV-1232,,(555) 234-5678,Audi A4,K99-22X,Engine Diagnostics,12/05/2023,178,Pndg,Paid via cash
SRV-1233,Sarah Jackson | Tel: 555.987.6543 | Mail: none,,18 Ford Focus (Plate: NO PLATE),,Battery Replacement,01-02-25,$8061051,Pndg,Paid via cash
SRV-1234,Prof. Dmitriy Williams,+1-555-987-6543,2015 MERCEDES E-CLASS (Plate: ABC 8901),,Oil change & Filter,20250228,489 USD,in progress,Duplicate record?
SRV-1235,Ms. Helen Jones,555-019-2834,18 Honda CR-V (Plate: abc8901),,Oil Change,15/01/2025,1091,COMPLETED,Paid via cash
SRV-1236,Sarah Miller,5552345678,2022 Ford F-150 (Plate: K9922X),,Brake Pad Change,01/15/2025,817,Pndg,
SRV-1237,Mr. John Williams,(555) 234-5678,BMW 3 Series,ABC 8901,OIL CHANGE,2025-02-28,454,done,
SRV-1238,Ms. Dmitriy Harris,+1-555-987-6543,honda civic,7XYZ 123,oil change,15-Jan-2025,FREE / WARRANTY,unpaid,Contact wife for payment
SRV-1044,Mrs. Bob Thomas | Tel:  | Mail: invalid-email@,,audi a4,K9922X,Oil change & Filter,28.02.2025,209,in progress,
SRV-1240,Robert Garcia,5552345678,Mercedes-Benz E-Class,NO PLATE,Oil change & Filter,28.02.2025,589,paid,
SRV-1241,Mrs. A. Martinez,555-019-2834,honda civic,K9922X,Brake Pad Change,15/01/2025,736,Completed,
SRV-1242,Mrs. A. Thomas | Tel: 555-234-5678 ext 12 | Mail: mike.w@hotmail.com,, BMW 3 Series (Plate: K9922X),,alignment,Feb 28 2025,1098,,Customer complained about noise
SRV-1243,Prof. A. Smith,5550192834,Audi A4,UNREGISTERED,Major Service,Feb 28 2025,824,Done,Bring back next week
SRV-1244,Prof. Bob Harris | Tel:  | Mail: -,,N/A Hyundai Elantra (Plate: ABC-8901),,Diagnostics,01-02-25,677,Paid,Duplicate record?
SRV-1245,Mrs. Christian Williams | Tel: +1-555-987-6543 | Mail: J.SMITH@GMAIL.COM,,Honda CR-V,7xyz123,Tire Rotation,2024-11-03,470,,
SRV-1246,Dmitri Garcia,+15550192834,Merc C-Class,7XYZ 123,Oil Change,2023-05-12,966,unpaid,Contact wife for payment
SRV-1247,Mrs. Dmitriy Garcia | Tel: (555) 234-5678 | Mail: sarah_j@yahoo.com,,audi a4,NEW CAR,AC Service,02/28/2025,588,in progress,
SRV-1248,Ms. S. Williams,+1-555-987-6543,Hyundai Tucson,ABC 8901,AC Refill,2024/11/03,525,Completed,Bring back next week
SRV-1249,Dr. Dmitri Williams,(555) 234-5678,2023 Audi A4 (Plate: NO PLATE),,Diagnostics,12/05/2023,934,Pndg,Duplicate record?
SRV-1250,Mr. Anna Johnson | Tel: +1 (555) 019-2834 | Mail: none,,audi a4,ABC-8901,Brake Pad Change,"Nov 3, 2024",379,Done,Replaced front left light as well for free
SRV-1251,Dr. Chris Johnson,5552345678,Honda CRV,7XYZ123 ,Battery Replacement,"Nov 3, 2024",176,CANCELLED,
SRV-1252,David Thompson,555-019-2834,Honda CR-V,7XYZ123 ,Wheel Alignment,11/03/2024,833,unpaid,Duplicate record?
SRV-1253,Mike Wilson,555.987.6543,TOYOTA CAMRY,7XYZ 123,Oil change & Filter,02/28/2025,$5682726,Paid,Replaced front left light as well for free
SRV-1254,Dr. John Taylor | Tel: 555.987.6543 | Mail: sarah_j@yahoo.com,,ford f150,7XYZ123,Major Service,00/00/2024,696,paid,Need to re-check invoice
SRV-1255,David Martin,5552345678,Kia Sportage,7XYZ 123,AC Refill,02/28/2025,-106,Completed,
SRV-1256,Prof. Anna Harris,+1 (555) 019-2834,BMW 3 Series,NONE,Full Maintenance,11/03/2024,737,CANCELLED,Paid via cash
SRV-1257,Dr. John Martin,,BMW 3 Series,7XYZ123,Major Service,2024-11-03,248,done,VIP client - gave 10% off
SRV-1258,Prof. John SMITH,555-234-5678,Honda CR-V,K99-22X,brakes front,12/05/2023,971,Pndg,Paid via cash
SRV-1259,,,2022 honda civic (Plate: UNREGISTERED),,Rear Brakes,03/11/2024,1003,Pndg,
SRV-1260,Sarah Thompson,+1 (555) 019-2834,TOYOTA CAMRY,7XYZ123,OIL CHANGE,2025-02-28,297,in progress,Replaced front left light as well for free
SRV-1261,,,Honda CRV,NO PLATE,AC Refill,"Nov 3, 2024",375,in progress,
SRV-1262,Prof. S. Johnson,555-019-2834,BMW X5,UNREGISTERED,Engine Check,2024-11-03,784,Completed,
SRV-1043,Mrs. Michael Jones,5552345678,Honda CR-V,7XYZ 123,Air Conditioning,01/15/2025,1024,Pndg,Duplicate record?
SRV-1264,Mr. Mike Garcia,call spouse 555-888-1122,N/A audi a4 (Plate: ABC-8901),,Full Maintenance,15/01/2025,730,paid,Contact wife for payment
SRV-1265,Robert Williams,,2012 honda civic (Plate: abc8901),,Rear Brakes,01-02-25,816,COMPLETED,
SRV-1266,Dr. Helen Harris,+15550192834,TOYOTA CAMRY,7XYZ 123,brakes front,03/11/2024,236,,Paid via cash
SRV-1267,John Garcia | Tel: 555-234-5678 ext 12 | Mail: invalid-email@,,toyota camry,ABC 8901,AC Refill,20250228,384,Pending,
SRV-1268,Helen Williams,555.987.6543,2023 BMW X5 (Plate: UNREGISTERED),,Rear Brakes,00/00/2024,1132,COMPLETED,Contact wife for payment
SRV-1269,Prof. Dmitri Williams | Tel: call spouse 555-888-1122 | Mail: info@company.org,,18 Hyundai Elantra (Plate: ABC-8901),,Diagnostics,11/03/2024,$4469093,Paid,
SRV-1270,Mr. john Taylor,+15550192834,Ford Focus,NEW CAR,Brake Pad Change,02/28/2025,828,unpaid,Paid via cash
SRV-1271,Mrs. Anna Thomas,,BMW 328i,7XYZ123,Brake Pads Replacement,Feb 28 2025,237 USD,Paid,Replaced front left light as well for free
SRV-1037,Dr. Bob Johnson,5552345678,Hyundai Tucson,K9922X,alignment,2024-11-03,921,Done,Bring back next week
SRV-1273,Mrs. Dmitry Martin | Tel: 555-019-2834 | Mail: invalid-email@,,honda civic,7XYZ 123,Tire Rotation,00/00/2024,118,,Replaced front left light as well for free
SRV-1274,Prof. Christian Harris,(555) 234-5678,MERCEDES E-CLASS,7XYZ123 ,Brake Pad Change,00/00/2024,621,COMPLETED,
SRV-1035,Mr. Mike Thomas | Tel: 555-234-5678 ext 12 | Mail: sarah_j@yahoo.com,,Honda CR-V,UNREGISTERED,Brake Pads Replacement,00/00/2024,-171,unpaid,Need to re-check invoice
SRV-1276,Mr. JON Harris,555 019 2834,Toyota Camry,NONE,Tire Fitting,2025-02-28,1165,CANCELLED,Bring back next week
SRV-1277,Ms. D. Garcia | Tel: +15550192834 | Mail: none,,BMW 328i,7xyz123,AC Refill,28.02.2025,,Done,Customer complained about noise
SRV-1278,Mr. Alex Brown,-,Honda Civic,NONE,Engine Diagnostics,12/05/2023,828,unpaid,Replaced front left light as well for free
SRV-1279,Mrs. Alexander Thompson,call spouse 555-888-1122,Mercedes E200,ABC 8901,Air Conditioning,2025-02-28,895,,VIP client - gave 10% off
SRV-1280,Mike White | Tel: (555) 234-5678 | Mail: J.SMITH@GMAIL.COM,,BMW X5,7XYZ123 ,Battery Replacement,01/15/2025,90 USD,done,VIP client - gave 10% off
SRV-1281,Mr. JON Miller | Tel: 5552345678 | Mail: info@company.org,,toyota camry,K99-22X,AC Service,"Nov 3, 2024",197,COMPLETED,Contact wife for payment
SRV-1282,Anna Wilson,555-234-5678,2021 Mercedes-Benz E-Class (Plate: NO PLATE),,Brake Pad Change,01/15/2025,80,COMPLETED,Paid via cash
SRV-1283,Dr. Dmitri Thomas | Tel: 555-234-5678 ext 12 | Mail: invalid-email@,,Toyota Camry,7xyz123,Battery,12/05/2023,792,Pending,Replaced front left light as well for free
SRV-1284,Ms. Alex Garcia | Tel: +1 (555) 019-2834 | Mail: alexander.t@domain.com,,2015 Mercedes-Benz E-Class (Plate: UNREGISTERED),,Engine Check,2024/11/03,1131,in progress,Duplicate record?
SRV-1285,Chris Thomas,call spouse 555-888-1122,Hyundai Elantra,NONE,Air Conditioning,2025-01-15,608,done,
SRV-1012,Dmitriy Davis,-,Mercedes-Benz E-Class,7XYZ123,Engine Diagnostics,11/03/2024,,CANCELLED,
SRV-1287,Dr. Mike Garcia,N/A,audi a4,K9922X,Rear Brakes,11/03/2024,503,Completed,Bring back next week
SRV-1288,Dr. S. Johnson,+15550192834,18 audi a4 (Plate: NEW CAR),,AC Refill,01/15/2025,840,unpaid,
SRV-1289,Prof. Elena Harris | Tel: (555) 234-5678 | Mail: ,, Honda CRV (Plate: 7XYZ 123),,Tire Fitting,20250228,146,Paid,
SRV-1290,Mrs. Chris Johnson,555.987.6543,Toyota Camry,ABC-8901,Oil change & Filter,2024/11/03,611,COMPLETED,Duplicate record?
SRV-1291,Prof. David Anderson,(555) 234-5678,bmw x5,abc8901,Engine Diagnostics,Feb 28 2025,348 USD,unpaid,Bring back next week
SRV-1292,Mrs. A. Jackson | Tel: 555-234-5678 ext 12 | Mail: mike.w@hotmail.com,,Hyundai Tucson,K9922X,Brake Pad Change,28.02.2025,1138,Paid,
SRV-1293,Prof. Robert smith,555-234-5678 ext 12,toyota camry,ABC 8901,Major Service,"Jan 15, 2025",765,in progress,
SRV-1294,Dr. D. Smith,+1-555-987-6543,audi a4,ABC-8901,Major Service,01-02-25,662,Pending,
SRV-1295,Chris SMITH | Tel: 555-234-5678 ext 12 | Mail: invalid-email@,,Audi A4,7XYZ 123,Diag,28.02.2025,908,done,Paid via cash
SRV-1296,,N/A,Ford Focus,7XYZ123 ,Diagnostics,2023-13-45,1002,CANCELLED,VIP client - gave 10% off
SRV-1297,Mike Miller | Tel: 5550192834 | Mail: mike.w@hotmail.com,,Toyota Corolla,7xyz123,alignment,12/05/2023,-247,CANCELLED,Duplicate record?
SRV-1043,Dr. Bob Williams,5550192834,2022 BMW X5 (Plate: ABC-8901),,Engine Check,Feb 28 2025,348,Paid,VIP client - gave 10% off
SRV-1299,Dr. Christian White,N/A,Audi Q7,7XYZ 123,Wheel Alignment,01-02-25,970,Paid,Duplicate record?
SRV-1300,Prof. Mike SMITH,555.987.6543,2018 Ford Focus (Plate: ABC 8901),,AC Service,2025.01.15,1040,Paid,Customer complained about noise
SRV-1301,Ms. Helen Smith,+1-555-987-6543,Kia Sportage,UNREGISTERED,Tire Fitting,12/05/2023,591,COMPLETED,
SRV-1302,Mr. Alexander Davis,N/A,2022 Mercedes E200 (Plate: K99-22X),,OIL CHANGE,15-Jan-2025,FREE / WARRANTY,done,Contact wife for payment
SRV-1303,Prof. Christian Brown | Tel: - | Mail: john.smith@gmail.com,,Mercedes E200,7XYZ 123,Engine Check,03/11/2024,FREE / WARRANTY,paid,Customer complained about noise
SRV-1304,Ms. Mike Taylor,+1-555-987-6543,BMW 328i,K9922X,oil change,2024/11/03,-242,COMPLETED,Customer complained about noise
SRV-1305,Prof. Christian Jones,555-234-5678,Volkswagen Golf,7xyz123,Battery Replacement,11/03/2024,987,Completed,Customer complained about noise
SRV-1306,Mr. Anna Brown,call spouse 555-888-1122,Ford F-150,7XYZ 123,oil change,12/05/2023,598,paid,Replaced front left light as well for free
SRV-1307,Mike Johnson,5552345678,Toyota Camry,7XYZ123 ,Oil change & Filter,02/28/2025,98,Done,Need to re-check invoice
SRV-1308,Prof. S. Anderson | Tel: 5550192834 | Mail: mike.w@hotmail.com,,TOYOTA CAMRY,NEW CAR,Major Service,01/15/2025,-215,COMPLETED,Duplicate record?
SRV-1309,Mrs. David Thompson,,Toyota Camry,abc8901,Engine Diagnostics,01/15/2025,976,Paid,Replaced front left light as well for free
SRV-1310,Prof. Michael Thompson,, Ford Focus (Plate: UNREGISTERED),,AC Service,2025.01.15,619,Paid,
SRV-1311,Prof. Alex Jones,+1 (555) 019-2834,Hyundai Elantra,ABC-8901,OIL CHANGE,12/05/2023,468,Paid,Contact wife for payment
SRV-1312,,,audi a4,7XYZ123,Brake Pads Replacement,15-Jan-2025,493,done,Contact wife for payment
SRV-1313,Alex Harris,N/A,MERCEDES E-CLASS,7XYZ123,brakes front,01-02-25,243,paid,Customer complained about noise
SRV-1314,Ms. D. smith | Tel: N/A | Mail: ,,TOYOTA CAMRY,7xyz123,AC Service,"Jan 15, 2025",FREE / WARRANTY,Completed,Duplicate record?
SRV-1315,Mike Garcia,(555) 234-5678,bmw x5,7XYZ123 ,Diagnostics,Feb 28 2025,954,done,VIP client - gave 10% off
SRV-1316,Prof. David Jones,555.987.6543,Mercedes E200,abc8901,Major Service,28.02.2025,742,unpaid,Bring back next week
SRV-1317,Prof. Elena Anderson,555.987.6543,Toyota Camry,ABC 8901,AC Service,2025.01.15,698,Done,Replaced front left light as well for free
SRV-1318,Dr. John Miller | Tel: 555 019 2834 | Mail: J.SMITH@GMAIL.COM,,Ford Mustang,7XYZ 123,Air Conditioning,11/03/2024,$695.00,done,Need to re-check invoice
SRV-1319,JON Taylor,call spouse 555-888-1122,Audi Q7,7xyz123,Engine Check,01/15/2025,861,done,Customer complained about noise
SRV-1320,Ms. Alexander Johnson,5552345678,Toyota Camry,7XYZ123 ,oil change,"Nov 3, 2024",733,Paid,Need to re-check invoice
SRV-1321,Mrs. S. smith,555-234-5678 ext 12,2021 Merc C-Class (Plate: 7xyz123),,Engine Check,02/28/2025,FREE / WARRANTY,Pending,Paid via cash
SRV-1322,Prof. Alex Miller,5550192834,2018 Hyundai Elantra (Plate: 7XYZ123 ),,AC Refill,2024-11-03,481,Paid,Need to re-check invoice
SRV-1323,Mrs. JON Miller,+1-555-987-6543,Merc C-Class,7xyz123,Tire Fitting,2025-02-28,736,Pending,Need to re-check invoice
SRV-1324,Mrs. D. Martinez | Tel: 555.987.6543 | Mail: invalid-email@,,toyota camry,ABC-8901,Brake Pads Replacement,15/01/2025,FREE / WARRANTY,Done,Bring back next week
SRV-1325,Dr. John Taylor,+15550192834,Toyota Camry,ABC-8901,brakes front,2024-11-03,609,Paid,Contact wife for payment
SRV-1326,,555-234-5678 ext 12,2012 Mercedes-Benz E-Class (Plate: ABC 8901),,Engine Check,2024-11-03,635,Done,Contact wife for payment
SRV-1327,Ms. Dmitri Miller | Tel:  | Mail: J.SMITH@GMAIL.COM,,N/A VW Golf (Plate: K99-22X),,Tire Rotation,2023-05-12,283,Pending,Contact wife for payment
SRV-1328,Mrs. Mike Martin,555.987.6543,Toyota Camry,ABC-8901,Engine Check,2024/11/03,401,Done,
SRV-1329,Dr. Mike Martin,N/A,BMW X5,UNREGISTERED,Rear Brakes,2025.01.15,884,Pndg,VIP client - gave 10% off
SRV-1330,Bob Davis,+1-555-987-6543,bmw x5,NEW CAR,AC Refill,2025.01.15,$363.00,unpaid,Duplicate record?
SRV-1331,Mrs. Helen Martin,555 019 2834,Hyundai Elantra,NONE,Brake Pad Change,2024/11/03,-186,,Paid via cash
SRV-1332,Mrs. John Taylor,+1-555-987-6543,Hyundai Tucson,NO PLATE,brakes front,"Jan 15, 2025",FREE / WARRANTY,Done,Need to re-check invoice
SRV-1333,Prof. Mike Martinez,5552345678,Ford Mustang,NO PLATE,Brake Pads Replacement,2023-05-12,1040,,
SRV-1334,Ms. S. Jones | Tel: 555-234-5678 | Mail: mike.w@hotmail.com,,Hyundai Elantra,ABC 8901,Rear Brakes,2024-11-03,215,COMPLETED,Contact wife for payment
SRV-1335,Dr. Chris Davis,+1-555-987-6543,MERCEDES E-CLASS,NO PLATE,Full Maintenance,2023-13-45,1155,Pndg,Customer complained about noise
SRV-1336,Mr. Mike Martin,555-234-5678 ext 12,N/A Mercedes-Benz E-Class (Plate: 7XYZ123),,Wheel Alignment,02/28/2025,665,paid,VIP client - gave 10% off
SRV-1337,Mr. Dmitriy Martin,555 019 2834,BMW 3 Series,NO PLATE,Brake Pad Change,2023-13-45,1199,COMPLETED,
SRV-1338,Mrs. Chris Garcia | Tel: 555-234-5678 | Mail: -,,ford f150,NO PLATE,Battery Replacement,"Jan 15, 2025",-230,paid,
SRV-1339,Anna Martinez,(555) 234-5678,toyota camry,abc8901,Inspection + Oil,2025.01.15,376 USD,COMPLETED,Customer complained about noise
SRV-1340,Ms. Helen Jones,+15550192834,Toyota Camry,7XYZ123 ,Wheel Alignment,20250228,1193,Done,Need to re-check invoice
SRV-1341,Prof. Dmitri Harris,555.987.6543, MERCEDES E-CLASS (Plate: 7XYZ123),,AC Refill,03/11/2024,505,Done,VIP client - gave 10% off
SRV-1342,,none,toyota camry,K99-22X,Brake Pad Change,"Nov 3, 2024",443,paid,Need to re-check invoice
SRV-1343,Dr. David Anderson,555-234-5678 ext 12,Volkswagen Golf,7xyz123,Brake Pads Replacement,"Jan 15, 2025",642,Pending,Duplicate record?
SRV-1344,Mrs. Bob smith,+15550192834,Audi A4,7xyz123,Battery Replacement,00/00/2024,668,CANCELLED,Need to re-check invoice
SRV-1345,Prof. Bob Anderson,555 019 2834,Mercedes-Benz E-Class,K9922X,Brake Pad Change,00/00/2024,$674.00,Completed,Customer complained about noise
SRV-1346,Mr. Mike Martinez | Tel: +1-555-987-6543 | Mail: none,,Ford Mustang,7XYZ123 ,Oil Change,01-02-25,$656.00,in progress,Paid via cash
SRV-1347,Dr. John Johnson,-,Merc C-Class,7XYZ123,brakes front,2024/11/03,1061,paid,Customer complained about noise
SRV-1348,Chris Thompson,-,bmw x5,UNREGISTERED,Battery,2024/11/03,118,Completed,Need to re-check invoice
SRV-1349,Dr. JON Williams,N/A,BMW X5,UNREGISTERED,Air Conditioning,00/00/2024,319,in progress,
SRV-1350,Mr. Christian Davis,,Ford F-150,UNREGISTERED,Oil change & Filter,2025-02-28,493,done,Contact wife for payment
SRV-1351,Prof. S. Brown,-,Mercedes-Benz E-Class,7XYZ123 ,Oil change & Filter,2023-05-12,351,Completed,Customer complained about noise
SRV-1352,Prof. Sarah Smith,none,MERCEDES E-CLASS,abc8901,oil change,"Jan 15, 2025",719,Done,Need to re-check invoice
SRV-1353,Mrs. David Brown | Tel: 555-234-5678 | Mail: alexander.t@domain.com,,18 ford f150 (Plate: NONE),,Brake Pads Replacement,15-Jan-2025,,Done,Need to re-check invoice
SRV-1002,Prof. D. Thompson | Tel: - | Mail: alexander.t@domain.com,,2022 Audi Q7 (Plate: NEW CAR),,OIL CHANGE,"Nov 3, 2024",773,Paid,Contact wife for payment
SRV-1355,john Johnson | Tel: 555-234-5678 ext 12 | Mail: john.smith@gmail.com,,BMW X5,NO PLATE,Air Conditioning,01-02-25,993,unpaid,
SRV-1356,Dmitri Thompson,5550192834,TOYOTA CAMRY,7xyz123,Inspection + Oil,01-02-25,1033,paid,Bring back next week
SRV-1357,Prof. Elena Anderson,555-234-5678 ext 12,audi a4,7XYZ123 ,Diag,Feb 28 2025,213,paid,Paid via cash
SRV-1358,Mrs. Helen Anderson | Tel: 555 019 2834 | Mail: ,,Volkswagen Golf,abc8901,OIL CHANGE,"Nov 3, 2024",900,unpaid,
SRV-1359,Mrs. Christian Thomas | Tel: 5550192834 | Mail: info@company.org,,Audi Q7,K99-22X,Tire Fitting,2023-13-45,1195,,Bring back next week
SRV-1360,Dmitriy Garcia,call spouse 555-888-1122,2023 BMW 3 Series (Plate: UNREGISTERED),,Wheel Alignment,15-Jan-2025,911,done,Need to re-check invoice
SRV-1361,Ms. David Harris | Tel: 555-019-2834 | Mail: J.SMITH@GMAIL.COM,,Honda Civic,7XYZ123 ,Oil Change,2025.01.15,1007,Paid,Replaced front left light as well for free
SRV-1362,Mrs. Mike Taylor,none,audi a4,K99-22X,Diagnostics,15/01/2025,1125,CANCELLED,VIP client - gave 10% off
SRV-1363,Prof. john Smith,,VW Golf,ABC-8901,Air Conditioning,02/28/2025,863,CANCELLED,
SRV-1364,Mrs. Christian Williams,555-234-5678,Ford Mustang,7XYZ 123,Inspection + Oil,2025.01.15,FREE / WARRANTY,done,Customer complained about noise
SRV-1365,Alexander Williams,5550192834,bmw x5,7XYZ123 ,Tire Fitting,00/00/2024,1123 USD,CANCELLED,Duplicate record?
SRV-1366,Mrs. Michael Jackson,+1 (555) 019-2834,Hyundai Tucson,NO PLATE,Tire Fitting,12/05/2023,148,Done,Need to re-check invoice
SRV-1367,Prof. Christian SMITH,555 019 2834,Hyundai Elantra,K9922X,AC Service,00/00/2024,-170,Pndg,Paid via cash
SRV-1368,,555-019-2834,Toyota Camry,K9922X,alignment,2023-13-45,942,Pending,Replaced front left light as well for free
SRV-1369,Prof. Helen Garcia,N/A,2018 Merc C-Class (Plate: NEW CAR),,Engine Check,00/00/2024,$9132926,done,VIP client - gave 10% off
SRV-1370,Dr. Elena Williams,N/A,2015 Toyota Camry (Plate: NEW CAR),,Air Conditioning,2025.01.15,837,COMPLETED,Replaced front left light as well for free
SRV-1371,Mrs. Anna smith,-,MERCEDES E-CLASS,K9922X,Tire Fitting,02/28/2025,$981.00,,VIP client - gave 10% off
SRV-1372,Dr. john Miller | Tel: +15550192834 | Mail: john.smith@gmail.com,,BMW X5,ABC 8901,AC Refill,11/03/2024,878,paid,Replaced front left light as well for free
